dataset,window,method,seed,method_label,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks,W4,xgboost,42,XGBoost,-47.274704610871964,-2.8270427688399167,-2.5515465869224827,54.189187368832414,-2.596307247143863
portfolio_5stocks,W4,xgboost,123,XGBoost,-43.7436011226347,-2.509548089544182,-2.340864909258391,51.11986173207579,-2.448462510924891
portfolio_5stocks,W4,xgboost,456,XGBoost,-34.89558954917277,-1.9057836956714787,-1.8280024232286864,43.66633173237808,-2.0901518372561845
portfolio_5stocks,W5,pure_gift,42,Pure GIFT,24.925244082687527,3.3177731170889326,3.6556643427999425,6.969121415762249,7.8676249113538725
portfolio_5stocks,W5,pure_gift,123,Pure GIFT,20.40365576993992,2.598275886694658,2.9736784688770093,10.442003503294185,4.422402005175285
portfolio_5stocks,W5,pure_gift,456,Pure GIFT,20.57954790280936,2.702617873544313,2.841386410763572,8.827813188054574,5.259236395840149
portfolio_5stocks,W5,pbir,42,PBIR-GIFT,32.695882722460134,3.108099423439444,3.1163429786926597,10.97922674475703,6.426686561650841
portfolio_5stocks,W5,pbir,123,PBIR-GIFT,14.842591844946341,2.127523885528309,2.4351626789966376,11.236073740641633,3.0751262780962363
portfolio_5stocks,W5,pbir,456,PBIR-GIFT,33.79907222580201,3.007405836471797,3.1527118882836094,12.743461692307632,5.721611621995778
portfolio_5stocks,W5,sma,deterministic,SMA,16.76091711840524,1.3532287335823576,1.4485949909076894,19.308054472574007,2.176158875725337
portfolio_5stocks,W5,wma,deterministic,WMA,25.844291352671746,1.9323978317510775,1.910093239198767,18.468596146421817,3.2521561293266408
portfolio_5stocks,W5,atr,deterministic,ATR,20.130561590747664,1.7523495951974633,1.7121947840712968,16.50584617884534,2.894194790179031
portfolio_5stocks,W5,bollinger,deterministic,Bollinger Bands,40.12718449405786,3.4810569888891623,4.009376183598592,4.607030693215792,18.23128950623823
portfolio_5stocks,W5,turn_of_month,deterministic,Turn-of-the-Month,4.54657668008982,1.1955467035619194,0.8513263532257164,3.3595979413048918,3.3041529634448445
portfolio_5stocks,W5,xgboost,42,XGBoost,24.66611518067743,2.068591561063007,2.365504032151241,17.847068042171763,3.1778409245394763
portfolio_5stocks,W5,xgboost,123,XGBoost,13.498440697409908,1.0865849463343582,1.1555368054756476,27.535742497795834,1.3025497142245992
portfolio_5stocks,W5,xgboost,456,XGBoost,5.477097950322385,0.5944208816722943,0.6120190655113865,24.808818271981107,0.6780264122080844
portfolio_5stocks,W6,pure_gift,42,Pure GIFT,2.83728138309145,0.5522990969431306,0.5093894258603131,10.183304616558091,0.7631638613190876
portfolio_5stocks,W6,pure_gift,123,Pure GIFT,2.474692286619651,0.48513882628124305,0.4349186265200583,11.530754855954472,0.6029334625931516
portfolio_5stocks,W6,pure_gift,456,Pure GIFT,7.892046246635043,1.1231244206500697,1.1206229816509077,12.398272915225373,1.6129059203007992
portfolio_5stocks,W6,pbir,42,PBIR-GIFT,9.092456626207657,1.4782532029073847,1.4081245385095527,7.7763687175450995,2.8582456373366147
portfolio_5stocks,W6,pbir,123,PBIR-GIFT,7.779173039200082,1.3364978805478762,1.327286482513776,7.414348270474905,2.5879362929509213
portfolio_5stocks,W6,pbir,456,PBIR-GIFT,6.979895769665956,1.0091386628277697,0.9840393324771317,12.63346385639999,1.4194041326801543
portfolio_5stocks,W6,sma,deterministic,SMA,-15.451745570476373,-1.3198297869561004,-1.0919887757819546,29.95432415976679,-1.2248426123685492
portfolio_5stocks,W6,wma,deterministic,WMA,-9.174083355973472,-0.6828875184137932,-0.5814195649975115,24.671443635867014,-0.780731465674155
portfolio_5stocks,W6,atr,deterministic,ATR,9.881356339836845,1.1932419714488656,1.2731793491426593,13.824542665961696,1.8107307162104376
